Município;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
LAVANDEIRA;11;1;-;13;3;5;3;8;1;3;5;-;53
LIZARDA;2;-;14;1;-;14;1;1;3;-;4;1;41
LUZINOPOLIS;1;1;2;-;4;9;1;26;4;4;8;38;98
MARIANOPOLIS DO TOCANTINS;9;55;2;16;10;31;12;3;10;2;7;5;162
MATEIROS;-;1;1;2;2;5;-;-;9;4;1;6;31
MAURILANDIA DO TOCANTINS;5;3;37;7;1;18;-;-;11;2;5;1;90
MIRACEMA DO TOCANTINS;50;111;162;20;13;27;4;29;186;9;10;12;634
MIRANORTE;94;37;98;53;9;48;3;5;290;12;33;14;697
MONTE DO CARMO;-;5;14;2;14;108;13;15;25;15;5;16;232
MONTE SANTO DO TOCANTINS;-;13;17;1;2;6;-;16;31;1;9;10;106
PALMEIRAS DO TOCANTINS;2;1;5;4;1;4;3;3;14;4;3;2;46
MURICILANDIA;6;21;186;2;4;14;-;27;-;-;2;4;266
NATIVIDADE;1;17;13;7;155;54;26;12;73;12;6;8;384
NAZARE;3;-;111;52;7;5;-;1;20;1;10;1;211
NOVA OLINDA;6;13;35;65;11;25;14;38;26;14;10;24;281
NOVA ROSALANDIA;4;10;25;3;-;25;2;13;19;2;-;2;105
NOVO ACORDO;2;13;10;12;6;11;3;5;11;3;1;3;80
NOVO ALEGRE;3;13;37;27;-;2;1;11;33;5;34;33;199
NOVO JARDIM;15;4;53;13;-;50;-;8;79;119;84;8;433
OLIVEIRA DE FATIMA;2;1;3;-;6;28;1;78;45;14;1;15;194
PALMEIRANTE;-;1;1;9;3;12;-;6;19;2;8;7;68
PALMEIROPOLIS;37;107;16;2;14;42;1;9;15;33;288;21;585
PARAISO DO TOCANTINS;155;232;134;76;63;568;105;104;799;267;30;60;2593
PARANA;25;89;15;88;7;86;5;11;7;3;51;149;536
PAU D'ARCO;2;10;3;3;-;1;-;122;9;6;1;17;174
PEDRO AFONSO;9;33;23;34;10;66;3;9;176;15;6;4;389
PEIXE;19;6;10;3;1;170;4;7;49;7;65;14;355
PEQUIZEIRO;-;6;-;14;4;21;1;1;9;4;4;4;68
COLMEIA;11;6;3;9;9;25;1;9;65;2;-;4;144
PINDORAMA DO TOCANTINS;2;6;46;5;48;19;2;17;11;4;3;11;174
PIRAQUE;3;2;9;4;-;2;2;7;34;2;2;13;80
PIUM;45;92;174;43;6;11;3;9;59;111;49;22;624
PONTE ALTA DO BOM JESUS;3;8;4;6;5;73;-;4;20;20;14;1;158
PONTE ALTA DO TOCANTINS;8;13;53;3;2;48;4;64;129;11;29;9;373
PORTO ALEGRE DO TOCANTINS;1;10;-;2;8;23;-;5;26;6;21;17;119
PORTO NACIONAL;62;118;61;54;112;1348;32;677;576;99;107;358;3604
PRAIA NORTE;-;1;61;56;9;46;1;3;13;14;6;3;213
PRESIDENTE KENNEDY;4;8;10;27;-;4;3;28;20;6;3;1;114
PUGMIL;9;19;3;5;4;21;2;1;87;13;3;27;194
RECURSOLANDIA;-;1;19;-;2;13;-;-;10;6;11;-;62
RIACHINHO;1;17;3;3;-;11;3;5;10;3;3;2;61
RIO DA CONCEICAO;2;19;36;54;-;8;1;-;42;46;178;10;396
RIO DOS BOIS;5;15;27;14;15;29;8;25;133;1;6;7;285
RIO SONO;5;17;3;8;1;12;5;5;41;26;8;-;132
SAMPAIO;1;6;6;12;2;5;3;3;10;-;3;6;57
SANDOLANDIA;46;18;13;3;4;38;1;21;3;2;11;17;177
SANTA FE DO ARAGUAIA;8;5;13;6;2;16;13;65;68;3;3;18;220
SANTA MARIA DO TOCANTINS;-;7;18;6;5;-;1;-;39;1;6;-;83
SANTA RITA DO TOCANTINS;-;-;-;-;-;11;1;2;35;3;3;-;55
SANTA ROSA DO TOCANTINS;-;2;6;2;5;32;6;4;52;1;4;10;124
SANTA TEREZA DO TOCANTINS;-;5;4;2;4;17;1;34;12;5;7;23;114
SANTA TEREZINHA DO TOCANTINS;2;-;3;10;10;-;7;25;7;1;1;-;66
SAO BENTO DO TOCANTINS;2;2;20;3;-;16;4;5;25;25;8;7;117
SAO FELIX DO TOCANTINS;1;1;-;1;1;4;-;1;37;-;-;3;49
SAO MIGUEL DO TOCANTINS;3;18;53;12;-;22;4;-;20;4;13;19;168
SAO SALVADOR DO TOCANTINS;7;5;11;8;2;1;1;-;-;-;26;16;77
SAO SEBASTIAO DO TOCANTINS;-;1;-;3;2;8;-;-;-;3;6;-;23
SAO VALERIO;2;17;34;17;1;70;-;185;21;28;18;1;394
SILVANOPOLIS;3;12;70;6;3;52;2;19;154;3;9;3;336
SITIO NOVO DO TOCANTINS;12;15;42;10;2;7;6;4;4;15;27;16;160
SUCUPIRA;1;2;2;1;-;11;-;-;49;-;2;1;69
TAGUATINGA;8;32;21;7;13;23;8;28;27;12;162;15;356
TAIPAS DO TOCANTINS;6;4;1;-;1;90;8;44;42;10;10;1;217
TALISMA;75;3;1;4;36;39;2;8;59;29;43;-;299
PALMAS;1244;4317;2018;1188;1189;5339;509;4266;11851;500;422;227;33082
TOCANTINIA;41;11;61;24;10;59;10;3;116;-;6;8;349
TOCANTINOPOLIS;84;117;318;140;26;138;22;32;281;48;29;33;1268
TUPIRAMA;6;6;9;-;-;28;-;3;19;2;6;5;84
TUPIRATINS;-;-;-;1;-;5;-;8;43;5;21;2;85
WANDERLANDIA;2;7;13;8;2;9;2;15;8;2;1;2;71
XAMBIOA;1;4;11;1;1;15;8;21;27;1;5;7;102
ACAILANDIA;27;48;6;2;-;3;-;1;52;18;39;27;223
AFONSO CUNHA;1;-;-;1;-;1;-;-;2;-;9;1;15
AGUA DOCE DO MARANHAO;-;-;-;1;-;1;-;-;4;3;10;3;22
ALCANTARA;4;10;40;14;3;1;3;10;5;1;21;7;119
ALDEIAS ALTAS;9;24;6;19;11;11;1;2;56;32;26;21;218
ALTAMIRA DO MARANHAO;-;-;-;-;-;-;-;-;-;-;3;1;4
ALTO ALEGRE DO MARANHAO;-;3;2;1;-;55;2;2;-;-;44;43;152
ALTO ALEGRE DO PINDARE;7;9;7;13;35;8;4;2;18;11;12;2;128
ALTO PARNAIBA;10;9;32;28;27;7;31;2;141;19;30;6;342
AMAPA DO MARANHAO;-;4;-;-;-;1;3;1;-;2;36;-;47
AMARANTE DO MARANHAO;10;46;30;86;1;61;11;7;7;40;23;4;326
ANAJATUBA;-;1;1;-;5;3;1;-;4;6;11;6;38
ANAPURUS;-;5;1;32;44;52;7;-;3;3;5;56;208
APICUM-ACU;21;-;1;-;2;1;-;1;2;13;30;66;137
ARAGUANA;2;2;92;-;-;1;1;-;2;1;15;8;124
ARAIOSES;-;56;8;46;-;7;-;2;19;4;6;8;156
ARAME;23;12;77;8;14;4;6;2;17;8;16;18;205
ARARI;2;4;4;-;2;6;-;4;177;66;35;7;307
AXIXA;-;15;29;1;-;5;-;-;1;2;8;3;64
BACABAL;4;58;203;40;1;6;7;3;15;92;35;27;491
BACABEIRA;7;12;17;7;4;24;28;20;14;8;61;50;252
BACURI;-;1;1;-;2;1;1;1;1;4;67;8;87
BACURITUBA;-;-;-;-;-;1;-;-;-;-;1;-;2
BALSAS;15;65;1461;1133;14;230;164;46;250;84;216;398;4076
BARAO DE GRAJAU;4;4;16;10;-;20;1;7;27;7;30;27;153
BARRA DO CORDA;76;518;6429;2077;400;539;440;511;165;92;225;66;11538
BARREIRINHAS;3;2;1;-;1;4;-;-;5;5;11;5;37
BELAGUA;-;-;10;-;-;-;-;1;-;2;3;-;16
BELA VISTA DO MARANHAO;-;9;5;1;-;-;-;-;1;1;1;2;20
BENEDITO LEITE;-;-;1;7;1;13;-;71;6;1;96;15;211
BEQUIMAO;9;142;128;69;1;1;-;4;18;6;97;2;477
BERNARDO DO MEARIM;-;2;5;1;-;1;3;-;-;1;3;1;17
BOA VISTA DO GURUPI;-;-;-;-;1;-;1;-;2;1;7;-;12
BOM JARDIM;43;7;136;21;6;2;2;-;4;-;42;9;272
BOM JESUS DAS SELVAS;28;12;518;2;-;-;2;2;11;4;11;50;640
BOM LUGAR;-;11;1;4;-;1;7;1;2;7;8;1;43
BREJO;3;35;22;23;10;4;2;1;5;-;7;6;118
BREJO DE AREIA;-;1;2;3;-;1;-;3;-;2;4;1;17
BURITI;1;-;1;7;4;11;-;5;4;1;11;10;55
BURITI BRAVO;4;77;209;1;2;-;1;1;4;-;89;23;411
BURITICUPU;35;207;15;-;4;2;6;3;51;6;338;93;760
BURITIRANA;7;4;12;6;3;4;9;-;1;4;116;4;170
CACHOEIRA GRANDE;-;-;2;-;-;1;1;-;3;-;9;2;18
CAJAPIO;-;-;-;-;-;-;2;-;-;1;1;2;6
CAJARI;-;1;-;-;-;-;-;-;2;-;2;7;12
CAMPESTRE DO MARANHAO;3;329;147;155;8;140;7;1;27;13;51;14;895
CANDIDO MENDES;18;1;-;-;-;-;-;-;-;1;1;45;66
CANTANHEDE;6;27;66;-;1;2;1;22;1;9;5;12;152
CAPINZAL DO NORTE;1;2;-;-;2;19;1;1;2;3;7;3;41
CAROLINA;56;36;88;25;16;16;16;1;11;12;33;12;322
CARUTAPERA;4;2;1;-;1;15;2;-;3;6;43;3;80
CAXIAS;93;247;544;317;183;186;7;5;182;52;84;47;1947
CEDRAL;2;1;-;-;-;-;-;-;-;-;2;1;6
CENTRAL DO MARANHAO;-;-;-;-;-;-;-;-;2;1;4;2;9
CENTRO DO GUILHERME;-;-;2;1;1;-;2;-;1;1;4;-;12
CENTRO NOVO DO MARANHAO;1;1;-;-;-;1;1;1;6;1;16;4;32
CHAPADINHA;1;216;690;76;27;37;17;5;33;110;27;56;1295
CIDELANDIA;12;11;11;18;2;24;-;-;56;8;40;8;190
CODO;5;22;6;7;1;13;2;5;46;10;15;37;169
COELHO NETO;8;3;162;-;-;12;-;1;182;13;6;5;392
COLINAS;6;7;13;5;-;160;18;2;53;11;153;38;466
CONCEICAO DO LAGO-ACU;1;1;-;-;-;-;-;-;2;-;7;6;17
COROATA;2;-;14;14;9;7;-;1;9;4;77;4;141
CURURUPU;33;157;447;22;2;5;12;5;6;7;18;8;722
DAVINOPOLIS;5;13;37;6;-;2;-;-;3;18;46;6;136
DOM PEDRO;2;22;5;6;-;37;-;2;12;3;7;4;100
DUQUE BACELAR;2;-;5;-;1;10;1;-;12;3;17;6;57
ESPERANTINOPOLIS;4;-;32;3;3;3;-;1;3;4;22;8;83
ESTREITO;17;4;13;71;11;32;12;64;32;15;42;19;332
FEIRA NOVA DO MARANHAO;-;10;18;26;3;168;20;-;5;17;68;19;354
FERNANDO FALCAO;-;18;17;8;-;1;-;-;-;2;12;2;60
FORMOSA DA SERRA NEGRA;5;8;16;17;5;147;85;3;31;10;19;17;363
FORTALEZA DOS NOGUEIRAS;1;3;104;161;8;21;144;4;36;4;21;3;510
FORTUNA;-;29;201;47;1;46;1;30;1;2;37;2;397
GODOFREDO VIANA;8;-;-;1;-;3;-;1;2;-;32;5;52
GONCALVES DIAS;-;4;1;-;1;10;-;2;1;28;120;2;169
GOVERNADOR ARCHER;18;28;45;2;2;1;-;-;12;7;50;2;167
GOVERNADOR EDISON LOBAO;13;24;52;33;35;104;16;17;21;34;30;13;392
GOVERNADOR EUGENIO BARROS;1;1;1;-;-;-;-;-;9;119;4;2;137
GOVERNADOR LUIZ ROCHA;-;1;-;15;5;1;1;1;-;1;19;3;47
GOVERNADOR NEWTON BELLO;5;-;2;-;4;3;-;1;1;5;48;4;73
GOVERNADOR NUNES FREIRE;1;-;406;6;3;-;3;-;5;1;11;5;441
GRACA ARANHA;-;3;2;3;-;3;-;-;1;1;25;-;38
GRAJAU;4;26;91;8;3;9;-;7;132;20;119;38;457
GUIMARAES;-;8;-;-;-;-;-;-;-;1;7;1;17
HUMBERTO DE CAMPOS;4;9;26;7;5;6;2;-;6;1;8;7;81
ICATU;1;1;1;-;-;3;-;1;1;2;12;3;25
IGARAPE DO MEIO;1;30;5;20;2;3;-;4;6;2;8;2;83
IGARAPE GRANDE;-;-;-;1;3;63;1;1;6;4;40;2;121
IMPERATRIZ;113;180;568;213;43;125;30;12;257;287;676;94;2598
ITAIPAVA DO GRAJAU;8;8;175;1;-;5;-;1;-;-;15;3;216
ITAPECURU MIRIM;-;22;15;7;32;67;17;5;9;10;39;14;237
ITINGA DO MARANHAO;37;-;73;42;5;19;16;2;33;43;9;53;332
JATOBA;1;1;-;-;-;12;1;1;1;1;176;27;221
JENIPAPO DOS VIEIRAS;-;-;50;41;1;18;1;13;-;1;77;1;203
JOAO LISBOA;4;19;237;14;2;9;1;-;6;4;57;27;380
JOSELANDIA;-;4;2;-;-;12;2;2;-;25;6;7;60
JUNCO DO MARANHAO;3;6;3;-;-;-;-;-;2;-;8;179;201
LAGO DA PEDRA;13;18;17;27;3;14;22;7;10;3;11;4;149
LAGO DO JUNCO;-;-;-;-;-;14;-;1;2;14;21;1;53
LAGO VERDE;18;2;35;2;-;-;1;-;2;2;26;2;90
LAGOA DO MATO;3;4;3;7;1;1;2;-;52;-;28;50;151
LAGO DOS RODRIGUES;1;2;13;-;-;-;-;-;7;-;10;-;33
LAGOA GRANDE DO MARANHAO;2;-;92;3;16;43;3;3;-;1;10;-;173
LAJEADO NOVO;10;26;7;-;1;6;14;9;47;30;46;6;202
LIMA CAMPOS;-;1;1;-;-;2;-;-;-;1;4;1;10
LORETO;-;2;3;41;-;1;4;1;18;13;17;5;105
LUIS DOMINGUES;-;-;-;-;-;1;-;-;-;1;16;4;22
MAGALHAES DE ALMEIDA;-;2;2;-;-;3;1;-;6;-;7;2;23
MARACACUME;6;16;110;1;91;23;1;5;1;3;63;20;340
MARAJA DO SENA;-;-;-;-;-;-;-;-;-;-;2;14;16
MARANHAOZINHO;-;-;26;1;-;3;-;-;4;4;13;3;54
MATA ROMA;-;1;5;3;3;21;1;-;5;6;12;25;82
MATINHA;2;2;5;-;-;2;1;-;5;-;5;1;23
MATOES;7;29;24;68;1;30;4;5;27;30;103;60;388
MATOES DO NORTE;-;3;23;-;4;1;-;-;1;3;19;9;63
MILAGRES DO MARANHAO;1;2;-;1;1;-;-;-;1;-;2;3;11
MIRADOR;2;11;3;-;-;2;3;-;3;-;4;3;31
MIRANDA DO NORTE;5;21;411;1;17;3;3;-;18;22;39;26;566
MIRINZAL;6;7;1;-;-;2;-;-;-;3;4;2;25
MONCAO;1;2;21;-;-;2;-;2;3;3;144;17;195
MONTES ALTOS;5;-;3;17;5;22;4;-;4;2;63;6;131
MORROS;1;2;6;8;-;1;-;-;3;-;28;3;52
NINA RODRIGUES;-;5;45;-;11;-;-;-;-;2;24;3;90
NOVA COLINAS;-;-;5;10;1;9;34;-;2;1;4;4;70
NOVA IORQUE;-;5;8;7;6;3;-;-;1;4;23;10;67
NOVA OLINDA DO MARANHAO;31;107;158;-;-;-;-;-;4;2;4;1;307
OLHO D'AGUA DAS CUNHAS;-;-;1;-;-;34;1;-;-;4;13;3;56
OLINDA NOVA DO MARANHAO;9;-;1;-;-;1;1;-;3;-;5;5;25
PACO DO LUMIAR;51;114;178;30;26;65;3;2;48;75;55;29;676
PALMEIRANDIA;1;3;-;-;-;-;-;-;1;-;7;-;12
PARAIBANO;3;102;113;62;3;71;3;34;261;40;89;198;979
PARNARAMA;4;20;71;3;1;-;-;1;84;3;139;74;400
PASSAGEM FRANCA;-;3;1;14;-;2;1;2;61;2;12;170;268
PASTOS BONS;-;28;6;5;-;2;38;-;2;1;389;182;653
PAULINO NEVES;3;11;4;-;-;3;-;-;-;2;7;1;31
PAULO RAMOS;2;-;-;1;1;7;1;5;14;2;14;25;72
PEDREIRAS;26;37;16;3;4;3;3;3;9;193;48;21;366
PEDRO DO ROSARIO;-;12;-;-;-;1;-;-;3;3;10;5;34
PENALVA;-;1;1;-;-;-;-;-;4;7;5;5;23
PERI MIRIM;26;53;5;-;-;-;-;1;-;-;3;1;89
PERITORO;1;14;12;5;-;9;1;1;1;1;6;2;53
PINDARE-MIRIM;8;7;10;63;1;2;1;2;11;5;5;37;152
PINHEIRO;130;298;6;3;4;13;3;5;26;167;55;10;720
PIO XII;5;14;6;6;2;11;1;-;14;8;26;12;105
PIRAPEMAS;-;15;8;-;1;2;2;5;8;1;15;2;59
POCAO DE PEDRAS;-;4;13;2;1;49;2;1;3;6;14;31;126
PORTO FRANCO;4;21;21;4;3;11;2;10;80;12;33;50;251
PORTO RICO DO MARANHAO;1;3;15;1;-;-;-;1;2;4;-;2;29
PRESIDENTE DUTRA;1;19;75;3;2;46;1;-;7;8;33;7;202
PRESIDENTE JUSCELINO;4;4;3;-;1;1;1;2;1;1;3;7;28
PRESIDENTE MEDICI;-;74;-;-;-;-;1;-;-;-;1;1;77
PRESIDENTE SARNEY;5;7;2;-;79;99;26;1;-;14;89;11;333
PRESIDENTE VARGAS;2;15;8;2;3;1;-;-;3;5;6;5;50
PRIMEIRA CRUZ;3;5;160;-;2;-;-;-;3;-;2;1;176
RAPOSA;4;6;13;5;6;1;3;-;8;18;44;13;121
RIACHAO;3;11;96;32;9;10;15;2;2;18;16;23;237
RIBAMAR FIQUENE;4;2;9;-;-;4;-;1;12;17;12;3;64
ROSARIO;27;119;220;8;3;9;41;3;4;9;32;11;486
SAMBAIBA;-;-;-;13;1;1;2;-;14;-;14;3;48
SANTA FILOMENA DO MARANHAO;-;1;15;-;-;39;-;-;2;-;3;-;60
SANTA HELENA;32;83;2;-;11;9;-;-;27;112;16;71;363
SANTA INES;12;32;10;29;15;42;3;14;23;42;83;41;346
SANTA LUZIA;8;19;20;-;6;9;2;3;22;153;43;9;294
SANTA LUZIA DO PARUA;10;15;-;5;1;70;1;-;3;1;10;6;122
SANTA QUITERIA DO MARANHAO;-;-;17;-;-;2;2;-;4;1;2;1;29
SANTA RITA;5;14;20;3;7;6;5;11;24;4;45;11;155
SANTANA DO MARANHAO;-;-;1;1;-;1;-;-;4;1;8;11;27
SANTO AMARO DO MARANHAO;-;1;2;-;-;1;1;-;-;1;4;-;10
SANTO ANTONIO DOS LOPES;1;-;3;-;-;-;-;-;-;-;33;8;45
SAO BENEDITO DO RIO PRETO;-;27;3;-;2;5;2;-;3;4;7;1;54
SAO BENTO;1;7;8;-;-;1;1;-;3;2;9;7;39
SAO BERNARDO;43;3;1;1;-;1;-;-;2;3;19;3;76
SAO DOMINGOS DO AZEITAO;-;-;-;12;-;-;-;27;6;2;14;7;68
SAO DOMINGOS DO MARANHAO;25;28;26;1;-;19;6;-;3;-;66;20;194
SAO FELIX DE BALSAS;-;-;-;71;1;-;-;1;-;1;1;17;92
SAO FRANCISCO DO BREJAO;4;10;59;30;4;11;2;-;7;70;9;16;222
SAO FRANCISCO DO MARANHAO;2;-;-;-;3;75;10;1;41;5;43;11;191
SAO JOAO BATISTA;-;-;2;-;-;1;1;-;2;1;1;3;11
SAO JOAO DO CARU;1;-;2;-;-;1;2;-;6;2;20;2;36
SAO JOAO DO PARAISO;9;15;59;8;5;44;8;5;8;6;50;8;225
SAO JOAO DO SOTER;5;1;4;2;3;1;-;-;1;-;31;1;49
SAO JOAO DOS PATOS;2;9;1;19;-;26;3;1;15;8;417;26;527
SAO JOSE DE RIBAMAR;41;330;850;225;117;127;44;12;128;133;110;55;2172
SAO JOSE DOS BASILIOS;1;5;32;14;-;59;-;2;11;-;16;5;145
SAO LUIS;929;2425;4783;1018;572;1043;734;154;2126;1503;1656;1408;18351
SAO LUIS GONZAGA DO MARANHAO;1;1;-;11;9;16;3;2;9;8;17;5;82
SAO MATEUS DO MARANHAO;1;26;61;-;-;35;8;3;12;21;277;6;450
SAO PEDRO DA AGUA BRANCA;1;1;289;1;2;43;1;1;10;17;45;10;421
SAO PEDRO DOS CRENTES;-;10;7;10;2;332;115;1;11;49;144;2;683
SAO RAIMUNDO DAS MANGABEIRAS;-;13;42;81;2;22;9;-;196;4;9;9;387
SAO RAIMUNDO DO DOCA BEZERRA;-;-;129;-;-;2;-;-;2;-;1;2;136
SAO ROBERTO;-;-;-;1;1;8;-;-;-;-;8;8;26
SAO VICENTE FERRER;3;2;-;-;-;-;-;-;1;1;8;7;22
SATUBINHA;-;1;7;1;-;5;7;1;10;10;42;1;85
SENADOR ALEXANDRE COSTA;-;71;33;-;2;1;-;-;5;-;29;13;154
SENADOR LA ROCQUE;2;1;48;4;4;23;5;-;5;1;8;4;105
SERRANO DO MARANHAO;1;-;1;-;-;-;-;-;-;-;11;14;27
SITIO NOVO;40;4;9;1;10;91;36;4;16;97;114;7;429
SUCUPIRA DO NORTE;1;1;1;1;-;1;1;1;5;30;105;83;230
SUCUPIRA DO RIACHAO;-;-;-;-;-;5;-;23;28;-;95;5;156
TASSO FRAGOSO;4;45;106;25;4;3;93;20;80;34;103;134;651
TIMBIRAS;2;6;1;-;-;1;1;-;2;2;10;4;29
TIMON;12;137;88;44;10;19;18;5;957;251;703;126;2370
TRIZIDELA DO VALE;12;4;29;2;6;4;6;2;6;24;8;5;108
TUFILANDIA;-;-;1;-;-;1;-;-;1;-;5;-;8
TUNTUM;14;86;48;4;2;70;1;3;4;1;48;6;287
TURIACU;3;-;82;29;3;-;1;-;3;1;32;8;162
TURILANDIA;62;139;17;8;10;25;6;-;2;80;82;8;439
TUTOIA;6;13;17;2;5;10;6;2;25;3;68;31;188
URBANO SANTOS;-;23;185;-;2;20;1;-;1;21;20;7;280
VARGEM GRANDE;14;67;105;11;4;2;-;2;4;2;2;3;216
VIANA;5;10;3;4;5;10;1;4;5;-;18;6;71
VILA NOVA DOS MARTIRIOS;6;-;65;17;3;11;-;1;2;5;231;32;373
VITORIA DO MEARIM;-;2;7;1;2;1;-;1;15;6;11;8;54
VITORINO FREIRE;2;2;38;2;2;2;-;-;3;4;2;31;88
ZE DOCA;25;150;573;5;5;32;22;4;22;2;91;28;959
ACAUA;6;25;-;-;-;9;16;-;62;2;41;-;161
AGRICOLANDIA;1;3;-;-;1;1;1;16;20;3;-;2;48
AGUA BRANCA;21;15;3;26;-;6;11;84;94;61;70;36;427
ALAGOINHA DO PIAUI;2;4;15;2;5;11;84;10;3;1;113;-;250
ALEGRETE DO PIAUI;-;5;22;1;-;5;39;1;25;-;-;2;100
ALTO LONGA;20;6;14;122;29;26;6;-;51;10;39;9;332
ALTOS;12;19;38;17;7;15;3;3;15;33;25;75;262
ALVORADA DO GURGUEIA;41;79;2;-;-;57;1;6;3;1;140;6;336
AMARANTE;6;3;2;3;23;-;-;-;31;16;80;3;167
ANGICAL DO PIAUI;13;8;4;8;3;2;-;-;74;1;44;4;161
ANISIO DE ABREU;28;1;-;1;11;2;-;-;46;-;-;-;89
ANTONIO ALMEIDA;9;-;1;-;1;7;1;13;106;1;151;2;292
AROAZES;5;-;-;-;-;2;-;41;10;-;2;2;62
AROEIRAS DO ITAIM;1;-;-;1;-;1;-;6;8;-;1;7;25
ARRAIAL;1;-;-;84;-;2;4;-;4;12;5;8;120
ASSUNCAO DO PIAUI;7;3;2;-;-;-;-;-;3;3;3;2;23
AVELINO LOPES;-;-;-;-;2;55;1;13;72;-;41;-;184
BAIXA GRANDE DO RIBEIRO;-;4;-;11;5;5;41;1;26;46;27;12;178
BARRA D'ALCANTARA;1;3;-;1;1;-;-;1;36;28;-;17;88
BARRAS;260;77;8;3;-;4;12;-;34;4;57;488;947
BARREIRAS DO PIAUI;-;-;2;-;-;-;5;24;6;-;17;-;54
BARRO DURO;-;-;2;1;-;-;-;-;28;57;1;8;97
BATALHA;33;25;48;4;-;4;-;-;15;1;3;16;149
BELA VISTA DO PIAUI;-;-;-;-;14;3;-;-;23;2;1;1;44
BELEM DO PIAUI;9;7;-;-;-;14;29;1;39;6;4;-;109
BENEDITINOS;14;1;17;3;19;15;3;6;38;16;18;45;195
BERTOLINIA;-;1;-;-;-;24;1;3;32;-;8;4;73
BETANIA DO PIAUI;1;50;2;-;-;8;2;-;33;5;32;3;136
BOA HORA;1;-;-;1;9;-;-;1;2;-;1;2;17
BOCAINA;2;8;2;1;1;13;-;7;10;-;-;2;46
BOM JESUS;53;58;16;23;10;151;41;128;77;77;2216;17;2867
BOM PRINCIPIO DO PIAUI;1;2;16;10;-;45;-;1;13;13;18;6;125
BONFIM DO PIAUI;-;56;2;-;3;6;1;-;15;1;161;-;245
BOQUEIRAO DO PIAUI;4;-;14;-;1;-;-;-;-;-;7;2;28
BRASILEIRA;3;8;15;1;-;2;-;-;11;2;1;14;57
BREJO DO PIAUI;-;-;-;-;-;14;-;-;18;1;1;-;34
BURITI DOS LOPES;3;3;9;3;1;5;2;1;34;11;12;6;90
BURITI DOS MONTES;2;19;3;24;-;57;37;4;48;2;16;2;214
CABECEIRAS DO PIAUI;1;-;-;-;-;2;-;2;2;1;5;4;17
CAJAZEIRAS DO PIAUI;1;-;-;1;-;4;-;-;7;1;7;15;36
CAJUEIRO DA PRAIA;51;8;59;11;3;3;1;4;120;-;1;-;261
CALDEIRAO GRANDE DO PIAUI;1;5;91;1;-;1;-;-;-;-;-;-;99
CAMPINAS DO PIAUI;1;64;-;1;82;-;1;-;17;10;11;4;191
CAMPO ALEGRE DO FIDALGO;17;30;1;-;-;8;-;-;2;1;29;1;89
CAMPO GRANDE DO PIAUI;5;18;24;-;-;12;2;13;43;-;90;1;208
CAMPO LARGO DO PIAUI;4;1;-;-;3;-;-;-;-;-;1;1;10
CAMPO MAIOR;15;33;28;3;-;11;7;10;279;13;49;39;487
CANAVIEIRA;-;4;1;-;-;-;-;-;-;-;1;-;6
CANTO DO BURITI;55;11;-;1;4;51;1;1;247;26;77;-;474
CAPITAO DE CAMPOS;55;11;7;1;2;3;2;-;6;1;5;19;112
CAPITAO GERVASIO OLIVEIRA;62;1;-;-;-;-;-;-;-;24;45;-;132
CARACOL;12;1;1;2;5;51;-;1;4;-;1;-;78
CARAUBAS DO PIAUI;-;2;-;1;-;29;-;-;6;7;1;3;49
CARIDADE DO PIAUI;-;-;-;-;-;-;-;13;-;1;1;-;15
CASTELO DO PIAUI;13;2;2;3;4;35;3;1;11;1;5;18;98
CAXINGO;2;-;2;2;-;-;-;1;11;4;5;4;31
COCAL;15;11;223;7;-;7;-;5;28;3;33;5;337
COCAL DE TELHA;73;1;14;2;-;-;5;1;21;2;47;14;180
COCAL DOS ALVES;47;1;3;-;-;3;2;-;9;2;137;11;215
COIVARAS;56;5;5;7;2;5;6;1;4;13;4;4;112
COLONIA DO GURGUEIA;-;-;-;3;1;14;-;1;15;1;27;1;63
COLONIA DO PIAUI;15;7;-;2;2;21;-;9;10;13;2;15;96
CONCEICAO DO CANINDE;1;17;1;-;-;1;1;-;70;-;2;3;96
CORONEL JOSE DIAS;-;-;-;3;1;26;-;-;21;17;5;-;73
CORRENTE;2;3;2;21;-;23;17;61;9;16;198;8;360
CRISTALANDIA DO PIAUI;-;1;1;-;-;3;1;9;-;-;10;-;25
CRISTINO CASTRO;117;12;1;2;1;76;1;24;4;2;75;23;338
CURIMATA;7;35;-;-;38;101;9;81;181;3;53;10;518
CURRAIS;3;4;-;-;-;10;-;5;2;8;458;10;500
CURRALINHOS;1;1;-;-;-;-;-;36;45;5;2;50;140
CURRAL NOVO DO PIAUI;4;-;1;1;-;8;7;-;19;-;7;-;47
DEMERVAL LOBAO;10;23;2;20;-;4;3;2;19;6;4;8;101
DIRCEU ARCOVERDE;3;18;16;4;24;12;-;-;176;1;1;1;256
DOM EXPEDITO LOPES;29;20;15;3;-;21;-;43;20;-;6;34;191
DOMINGOS MOURAO;5;4;1;-;2;2;-;53;-;-;1;1;69
DOM INOCENCIO;44;3;10;22;10;12;-;1;126;8;18;20;274
ELESBAO VELOSO;-;12;11;76;6;2;1;1;3;6;3;12;133
ELISEU MARTINS;-;-;-;-;-;30;-;-;17;1;9;1;58
ESPERANTINA;216;50;7;3;3;3;3;-;261;64;36;60;706
